"공연시작일","공연종료일","구분","공연장","공연명","총 접속수(로그인 회원)","20세 미만(%)","20~29세(%)","30~39세(%)","40~49세(%)","50~59세(%)","60~69세(%)","70세 이상(%)","여수(%)","순천(%)","광양(%)","호남(%)","광주(%)","호남 외 지역(%)"
"2026-01-09","2026-01-09","기획","대극장","2026 GS칼텍스 예울마루 신년음악회","2408","1.2","8.05","24.46","35.2","24.5","6.18","0.41","52.38","25.41","8.55","0","3.82","9.84"
"2026-01-24","2026-01-25","기획","대극장","2026 뮤지컬 <미세스 다웃파이어> - 여수","9313","1.2","13.84","29.58","38.11","14.48","2.63","0.16","49.72","26.24","12.06","0","5.27","6.71"
"2026-02-01","2026-03-30","기타","기타","2026년도 상반기 대소극장 유지보수 기간 안내","16","0","6.25","43.75","37.5","12.5","0","0","37.5","31.25","12.5","0","0","18.75"
"2026-03-31","2026-03-31","대관","대극장","여수시립합창단 봄봄봄 콘서트 상춘곡 청풍명월","48","2.08","4.16","20.83","41.7","22.91","4.16","4.16","50.01","18.75","18.75","0","2.08","10.41"
"2026-04-04","2026-04-05","대관","대극장","가족뮤지컬 <에그박사 : 해적 보물섬의 비밀> - 여수","783","0","1.78","51.11","45.46","1.02","0.51","0.12","58.89","24.01","13.28","0","1.14","2.68"
"2026-04-04","2026-04-04","대관","소극장","지브리와 사랑에 빠지다 : 지브리 영화음악 콘서트 2026 - 여수","474","1.47","8.43","36.28","39.7","12.65","1.47","0","49.81","27.42","11.6","0","1.89","9.28"
"2026-04-09","2026-04-09","기획","대극장","브런치 콘서트 <클래식과 함께 하는 미술관 여행 I>","522","0.19","3.25","19.15","39.3","26.24","11.11","0.76","49.45","26.43","10.72","0","1.53","11.87"
"2026-04-11","2026-04-12","대관","대극장","뮤지컬 번개맨 시즌2 <번개맨!VS번개맨?>","328","0","4.26","65.87","29.87","0","0","0","64.36","18.59","12.8","0","1.21","3.04"
"2026-04-16","2026-04-19","기획","대극장","2026 실내악 페스티벌 STAY 패키지","136","0","6.61","17.64","20.58","31.65","23.52","0","23.52","12.5","5.14","0","0.73","58.11"
"2026-04-16","2026-04-19","기획","대극장","2026 실내악 페스티벌 <실내악, 그 이상의 세계>","787","2.54","7.87","19.56","27.31","31.29","10.67","0.76","45.89","25.41","8.25","0","2.92","17.53"
"2026-04-23","2026-04-23","대관","대극장","여수시립국악단 제 48회 정기연주회 '불의소리 바람의노래'","19","0","0","36.86","26.31","31.57","0","5.26","57.91","10.52","0","0","5.26","26.31"
"2026-04-25","2026-04-26","대관","대극장","쇼뮤지컬 <프린세스 캐치!티니핑> - 여수","914","0","3.28","63.69","32.05","0.98","0","0","53.31","20.67","20.02","0","1.85","4.15"
"2026-05-07","2026-05-07","기획","대극장","김영욱×콜레기움 무지쿰 서울 <8 Seasons>","380","0.78","7.63","21.84","33.72","26.31","8.15","1.57","52.39","20.78","12.63","0","1.05","13.15"
"2026-05-14","2026-05-16","기획","대극장","뮤지컬 <100층짜리 집> - 여수","1902","0.1","2.2","53.45","38.9","3.78","1.52","0.05","53.54","27.65","13.56","0","0.84","4.41"
"2026-05-19","2026-05-19","대관","소극장","여수시립합창단 사전해설콘서트 '운명을 바라보는 두개의 시선'","18","0","0","0","38.88","44.46","16.66","0","55.56","33.33","11.11","0","0","0"
"2026-05-20","2026-05-20","대관","대극장","제11회 크라운해태한음회","32","0","9.37","12.5","37.51","21.87","18.75","0","68.75","12.5","12.5","0","0","6.25"
"2026-05-23","2026-05-23","기획","대극장","한국페스티발앙상블 <세상에서 가장 편한 음악>","437","0.68","4.57","17.16","27.91","31.61","15.1","2.97","39.84","32.72","10.75","0","5.94","10.75"
"2026-05-28","2026-05-28","대관","소극장","곽진후 첼로 귀국 독주회","41","2.43","4.87","26.82","39.06","19.51","7.31","0","56.13","21.95","12.19","2.43","2.43","4.87"
"2026-05-30","2026-05-30","기획","대극장","국립심포니오케스트라 라이브 애니메이션 <피터와 늑대 & 어미 거위>","561","0.17","2.31","41.39","40.46","11.05","4.45","0.17","51.54","25.31","12.47","0","1.06","9.62"
"2026-06-04","2026-06-04","기획","대극장","브런치 콘서트 <클래식과 함께 하는 미술관 여행 Ⅱ>","273","0.73","2.56","18.68","38.85","23.8","14.65","0.73","45.44","33.33","7.32","0","2.56","11.35"
"2026-06-04","2026-06-04","기획","대극장","브런치 콘서트 <클래식과 함께 하는 미술관 여행 II>","83","0","3.61","34.96","32.53","15.66","10.84","2.4","33.75","25.3","6.02","0","2.4","32.53"
"2026-06-05","2026-06-05","대관","대극장","여수시립합창단 제88회 정기연주회","40","7.5","10","20","25","27.5","7.5","2.5","60","17.5","12.5","0","0","10"
"2026-06-09","2026-06-09","대관","소극장","앙상블여수 정기연주회 '섬도시를잇다'","20","0","0","15","30","45","5","5","55","10","20","0","0","15"
"2026-06-11","2026-06-13","기획","대극장","예울 테스트 상품","1","0","0","100","0","0","0","0","0","0","0","0","0","100"
"2026-06-13","2026-06-13","대관","소극장","이음스트링챔버오케스트라 제7회 정기연주회","43","0","6.97","25.58","30.25","30.23","6.97","0","67.47","13.95","11.62","2.32","2.32","2.32"
"2026-06-13","2026-06-13","기획","대극장","연극 <노인의 꿈>","1532","0.71","8.28","19.64","34.17","28.26","7.57","1.37","50.87","27.08","12.53","0","1.89","7.63"
"2026-06-19","2026-06-20","기획","대극장","헬로!오페라 <세비야의 이발사>","771","1.16","4.66","19.32","53.35","14.65","6.48","0.38","49.7","27.88","10.76","0.25","2.72","8.69"
"2026-06-23","2026-06-23","대관","대극장","열린심포니오케스트라 제21회 정기연주회","38","0","7.89","28.94","31.6","18.42","13.15","0","71.07","2.63","10.52","0","5.26","10.52"
"2026-06-25","2026-06-28","대관","대극장","2026년 여수에코국제음악제","191","1.04","10.47","19.89","30.4","26.17","10.99","1.04","57.09","10.99","13.08","0","1.04","17.8"
"2026-07-02","2026-07-02","대관","대극장","여수시립국악단 제49회 정기연주회 '여수문학기행'","29","0","6.89","20.68","48.3","24.13","0","0","79.33","3.44","10.34","0","0","6.89"
"2026-07-04","2026-07-05","대관","대극장","베베핀뮤지컬 <두근두근 새친구>","199","2.01","1","67.85","24.12","4.52","0.5","0","56.79","28.64","12.06","0","0.5","2.01"
"2026-07-11","2026-07-11","대관","소극장","제2회 류가연 가야금 독주회","18","0","11.11","27.8","27.77","27.77","5.55","0","72.23","11.11","5.55","0","0","11.11"
"2026-07-12","2026-07-12","대관","소극장","현의 떨림, 관의 숨결","24","0","0","33.34","25","33.33","8.33","0","50.01","16.66","20.83","0","0","12.5"
"2026-07-15","2026-12-15","대관","기타","대관 결제용 페이지","97","0","10.3","19.58","48.48","3.09","0","18.55","71.14","0","1.03","0","0","27.83"
"2026-08-29","2026-08-29","대관","대극장","개막연주회 열정의 서곡 – 정명훈의 '로미오와 줄리엣'","180","2.22","6.66","21.11","25.02","23.88","16.11","5","42.24","18.88","12.22","0","0","26.66"
"2026-08-30","2026-08-30","대관","대극장","라포엠의 Love Rhapsody","426","0.23","6.57","11.97","39.22","20.89","21.12","0","27.69","5.39","2.34","0","0.23","64.35"
"2026-08-30","2026-08-30","대관","소극장","KBS교향악단 임산부를 위한 태교음악회","20","0","15","25","15","25","15","5","30","15","0","0","0","55"
"2026-09-03","2026-09-03","기획","대극장","브런치 콘서트 <현 위로 흐르는 계절: 열정과 고독사이>","603","0.16","7.96","21.39","24.54","28.87","15.09","1.99","36.18","23.21","7.29","0","0.49","32.83"
"2026-09-04","2026-09-04","대관","대극장","백윤학의 Cine-Fantasy","69","0","13.04","26.08","27.56","15.94","13.04","4.34","28.98","31.88","5.79","0","0","33.35"
"2026-09-05","2026-09-05","대관","대극장","폐막연주회 열 번째 심포니, 계속될 선율","113","0","11.5","30.12","27.43","14.15","15.04","1.76","29.2","32.76","4.42","0","0.88","32.74"
"2026-09-10","2026-09-10","기획","대극장","2026 여수세계섬박람회 기념음악회","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-12","2026-09-12","기획","대극장","음반발매기념 <조재혁 피아노 리사이틀>","316","0.31","7.27","16.45","45.93","19.93","9.17","0.94","33.88","33.54","12.34","0","0.31","19.93"
"2026-09-18","2026-09-20","기획","대극장","뮤지컬 <그날들>","5541","1.47","16.11","30.03","35.47","15.23","1.62","0.07","47.33","24.25","13.89","0","1.78","12.75"
"2026-10-01","2026-10-04","기획","대극장","뮤지컬 <달 샤베트> - 여수","1051","0.19","2.28","47.78","43.86","5.51","0.38","0","53.68","25.21","11.51","0","1.14","8.46"
"2026-10-14","2026-10-14","기획","대극장","국립현대무용단 <트리플 빌>","205","0","20","22.92","21.46","24.89","10.73","0","32.22","24.87","19.02","0","3.41","20.48"
"2026-10-27","2026-10-27","기획","대극장","다비드 바뱅 & 아드리앙 몽도 <피아노 피아노>","174","0","8.04","13.21","33.36","33.33","10.34","1.72","44.84","36.78","8.62","0","0.57","9.19"
"2026-11-26","2026-11-28","기획","대극장","뮤지컬 <러커스 더 스쿨>","497","2.61","6.43","13.48","57.97","17.5","1.81","0.2","45.29","25.55","23.94","0","0.6","4.62"
