no,cat,name,city,addr,lat,lng,src
1,유치원,거문초등학교병설유치원,여수,전남광주통합특별시 여수시 삼산면 녹산등대길 8-17,34.752,127.662,approx-city
2,유치원,경호초등학교병설유치원,여수,전남광주통합특별시 여수시 대경도4길 48 (경호동),34.718183,127.726048,nominatim
3,유치원,관기초등학교병설유치원,여수,전남광주통합특별시 여수시 소라면 관기길 20,34.752,127.662,approx-city
4,유치원,꽃가람유치원,여수,전남광주통합특별시 여수시 여서2로 20 (여서동,34.752765,127.709215,nominatim
5,유치원,도원초등학교병설유치원,여수,전남광주통합특별시 여수시 선원4길 38 (선원동),34.763737,127.650974,nominatim
6,유치원,동백초등학교병설유치원,여수,전남광주통합특별시 여수시 돌산읍 강남10길 27,34.752,127.662,approx-city
7,유치원,미주유치원,여수,전남광주통합특별시 여수시 장성마을길 18-9 (안산동),34.758901,127.653682,nominatim
8,유치원,백상유치원,여수,전남광주통합특별시 여수시 좌수영로 441 (둔덕동),34.765839,127.703231,nominatim
9,유치원,상암초등학교병설유치원,여수,전남광주통합특별시 여수시 상암로 625 (상암동),34.800408,127.717556,nominatim
10,유치원,선경유치원,여수,전남광주통합특별시 여수시 양지3길 16 (미평동),34.771869,127.703799,nominatim
11,유치원,성모유치원,여수,전남광주통합특별시 여수시 신월로 799-2 (봉강동),34.755813,127.674652,nominatim
12,유치원,소나무유치원,여수,전남광주통합특별시 여수시 구봉2길 2 (국동),34.732293,127.712159,nominatim
13,유치원,소라초등학교병설유치원,여수,전남광주통합특별시 여수시 소라면 덕양로 431,34.772829,127.638129,nominatim
14,유치원,소호초등학교병설유치원,여수,전남광주통합특별시 여수시 소호로 499 (소호동),34.736734,127.648368,nominatim
15,유치원,송현유치원,여수,전남광주통합특별시 여수시 웅천7길 47 (웅천동),34.752,127.662,approx-city
16,유치원,시온유치원,여수,전남광주통합특별시 여수시 쌍봉로 318-1 (둔덕동),34.764348,127.677138,nominatim
17,유치원,시전초등학교병설유치원,여수,전남광주통합특별시 여수시 망마로 82-17 (신기동),34.759118,127.66802,nominatim
18,유치원,신기초등학교병설유치원,여수,전남광주통합특별시 여수시 여천체육공원길 24 (신기동),34.758888,127.677754,nominatim
