기준일자,전시ID,전시명,일일유료,일일무료,일일총인원,일일금액,누계유료,누계무료,누계총인원,누계금액,점유율
20240305,240305_01,어린이 미술전<파르르 파르르>,2,0,2,350400,2,0,2,350400,2.9
20240306,240305_01,어린이 미술전<파르르 파르르>,9,18,27,40000,11,18,29,390400,3.3
20240307,240305_01,어린이 미술전<파르르 파르르>,8,0,8,32000,19,18,37,422400,3.5
20240308,240305_01,어린이 미술전<파르르 파르르>,11,8,19,44000,30,26,56,466400,3.9
20240309,240305_01,어린이 미술전<파르르 파르르>,55,4,59,224000,85,30,115,690400,5.8
20240310,240305_01,어린이 미술전<파르르 파르르>,68,2,70,236000,153,32,185,926400,7.7
20240312,240305_01,어린이 미술전<파르르 파르르>,2,2,4,8000,155,34,189,934400,7.8
20240313,240305_01,어린이 미술전<파르르 파르르>,7,1,8,28000,162,35,197,962400,8
20240314,240305_01,어린이 미술전<파르르 파르르>,4,0,4,16000,166,35,201,978400,8.2
20240315,240305_01,어린이 미술전<파르르 파르르>,8,2,10,32000,174,37,211,1010400,8.4
20240316,240305_01,어린이 미술전<파르르 파르르>,72,2,74,248000,246,39,285,1258400,10.5
20240317,240305_01,어린이 미술전<파르르 파르르>,58,0,58,180000,304,39,343,1438400,12
20240319,240305_01,어린이 미술전<파르르 파르르>,5,1,6,28000,309,40,349,1466400,12.2
20240320,240305_01,어린이 미술전<파르르 파르르>,67,2,69,268000,376,42,418,1734400,14.5
20240321,240305_01,어린이 미술전<파르르 파르르>,6,1,7,24000,382,43,425,1758400,14.7
20240322,240305_01,어린이 미술전<파르르 파르르>,13,1,14,52000,395,44,439,1810400,15.1
20240323,240305_01,어린이 미술전<파르르 파르르>,93,8,101,372000,488,52,540,2182400,18.2
20240324,240305_01,어린이 미술전<파르르 파르르>,70,3,73,264000,558,55,613,2446400,20.4
20240326,240305_01,어린이 미술전<파르르 파르르>,4,1,5,16000,562,56,618,2462400,20.5
20240327,240305_01,어린이 미술전<파르르 파르르>,19,0,19,52000,581,56,637,2514400,21
20240328,240305_01,어린이 미술전<파르르 파르르>,0,0,0,28000,581,56,637,2542400,
20240329,240305_01,어린이 미술전<파르르 파르르>,43,5,48,156000,624,61,685,2698400,22.5
20240330,240305_01,어린이 미술전<파르르 파르르>,42,2,44,164000,666,63,729,2862400,23.9
20240331,240305_01,어린이 미술전<파르르 파르르>,36,1,37,144000,702,64,766,3006400,25.1
20240402,240305_01,어린이 미술전<파르르 파르르>,0,0,0,16000,702,64,766,3022400,
20240403,240305_01,어린이 미술전<파르르 파르르>,12,0,12,48000,714,64,778,3070400,25.6
20240404,240305_01,어린이 미술전<파르르 파르르>,1,2,3,4000,715,66,781,3074400,25.6
20240405,240305_01,어린이 미술전<파르르 파르르>,32,0,32,128000,747,66,813,3202400,26.7
20240406,240305_01,어린이 미술전<파르르 파르르>,34,2,36,136000,781,68,849,3338400,27.8
20240407,240305_01,어린이 미술전<파르르 파르르>,66,3,69,260000,847,71,918,3598400,30
20240409,240305_01,어린이 미술전<파르르 파르르>,26,6,32,84000,873,77,950,3682400,30.7
20240410,240305_01,어린이 미술전<파르르 파르르>,57,9,66,204000,930,86,1016,3886400,32.4
20240411,240305_01,어린이 미술전<파르르 파르르>,4,0,4,16000,934,86,1020,3902400,32.5
20240412,240305_01,어린이 미술전<파르르 파르르>,22,0,22,88000,956,86,1042,3990400,33.3
20240412,240412_01,창작스튜디오 5기 프리뷰전,28,7,35,84000,28,7,35,84000,8.4
20240413,240305_01,어린이 미술전<파르르 파르르>,43,1,44,164000,999,87,1086,4154400,34.6
20240413,240412_01,창작스튜디오 5기 프리뷰전,77,8,85,231000,105,15,120,315000,31.5
20240414,240305_01,어린이 미술전<파르르 파르르>,25,2,27,88000,1024,89,1113,4242400,35.4
20240414,240412_01,창작스튜디오 5기 프리뷰전,36,2,38,108000,141,17,158,423000,42.3
20240416,240305_01,어린이 미술전<파르르 파르르>,22,0,22,88000,1046,89,1135,4330400,36.1
20240416,240412_01,창작스튜디오 5기 프리뷰전,9,0,9,27000,150,17,167,450000,45
20240417,240305_01,어린이 미술전<파르르 파르르>,72,0,72,288000,1118,89,1207,4618400,38.5
20240417,240412_01,창작스튜디오 5기 프리뷰전,19,5,24,57000,169,22,191,507000,50.7
20240418,240305_01,어린이 미술전<파르르 파르르>,78,1,79,312000,1196,90,1286,4930400,41.1
20240418,240412_01,창작스튜디오 5기 프리뷰전,28,0,28,84000,197,22,219,591000,59.1
20240419,240305_01,어린이 미술전<파르르 파르르>,7,1,8,28000,1203,91,1294,4958400,41.3
20240419,240412_01,창작스튜디오 5기 프리뷰전,41,3,44,123000,238,25,263,714000,71.4
20240420,240305_01,어린이 미술전<파르르 파르르>,43,5,48,132000,1246,96,1342,5090400,42.4
20240420,240412_01,창작스튜디오 5기 프리뷰전,23,6,29,69000,261,31,292,783000,78.3
20240421,240305_01,어린이 미술전<파르르 파르르>,40,5,45,168000,1286,101,1387,5258400,43.8
20240421,240412_01,창작스튜디오 5기 프리뷰전,39,1,40,117000,300,32,332,900000,90
20240423,240305_01,어린이 미술전<파르르 파르르>,4,3,7,16000,1290,104,1394,5274400,44
20240423,240412_01,창작스튜디오 5기 프리뷰전,17,0,17,51000,317,32,349,951000,95.1
20240424,240305_01,어린이 미술전<파르르 파르르>,212,8,220,848000,1502,112,1614,6122400,51
20240424,240412_01,창작스튜디오 5기 프리뷰전,30,0,30,90000,347,32,379,1041000,104.1
20240425,240305_01,어린이 미술전<파르르 파르르>,40,2,42,160000,1542,114,1656,6282400,52.4
20240425,240412_01,창작스튜디오 5기 프리뷰전,23,7,30,69000,370,39,409,1110000,111
20240426,240305_01,어린이 미술전<파르르 파르르>,32,0,32,128000,1574,114,1688,6410400,53.4
20240426,240412_01,창작스튜디오 5기 프리뷰전,19,3,22,57000,389,42,431,1167000,116.7
20240427,240305_01,어린이 미술전<파르르 파르르>,42,0,42,152000,1616,114,1730,6562400,54.7
20240427,240412_01,창작스튜디오 5기 프리뷰전,25,3,28,75000,414,45,459,1242000,124.2
20240428,240305_01,어린이 미술전<파르르 파르르>,24,4,28,88000,1640,118,1758,6650400,55.4
20240428,240412_01,창작스튜디오 5기 프리뷰전,37,1,38,111000,451,46,497,1353000,135.3
20240430,240305_01,어린이 미술전<파르르 파르르>,7,0,7,28000,1647,118,1765,6678400,55.7
20240430,240412_01,창작스튜디오 5기 프리뷰전,15,0,15,45000,466,46,512,1398000,139.8
20240501,240305_01,어린이 미술전<파르르 파르르>,100,2,102,400000,1747,120,1867,7078400,59
20240501,240412_01,창작스튜디오 5기 프리뷰전,58,15,73,174000,524,61,585,1572000,157.2
20240501,240501_01,장도 나라의 앨리스,0,0,0,0,,,,,
20240502,240305_01,어린이 미술전<파르르 파르르>,4,1,5,24000,1751,121,1872,7102400,59.2
20240502,240412_01,창작스튜디오 5기 프리뷰전,21,3,24,63000,545,64,609,1635000,163.5
20240502,240501_01,장도 나라의 앨리스,0,0,0,0,,,,,
20240503,240305_01,어린이 미술전<파르르 파르르>,143,2,145,564000,1894,123,2017,7666400,63.9
20240503,240412_01,창작스튜디오 5기 프리뷰전,112,2,114,336000,657,66,723,1971000,197.1
20240503,240501_01,장도 나라의 앨리스,0,0,0,0,,,,,
20240504,240305_01,어린이 미술전<파르르 파르르>,47,1,48,188000,1941,124,2065,7854400,65.5
20240504,240412_01,창작스튜디오 5기 프리뷰전,46,1,47,138000,703,67,770,2109000,210.9
20240504,240501_01,장도 나라의 앨리스,0,0,0,0,,,,,
20240505,240305_01,어린이 미술전<파르르 파르르>,98,2,100,384000,2039,126,2165,8238400,68.7
20240505,240412_01,창작스튜디오 5기 프리뷰전,15,0,15,45000,718,67,785,2154000,215.4
20240507,240305_01,어린이 미술전<파르르 파르르>,7,0,7,28000,2046,126,2172,8266400,68.9
20240507,240412_01,창작스튜디오 5기 프리뷰전,18,0,18,54000,736,67,803,2208000,220.8
20240508,240305_01,어린이 미술전<파르르 파르르>,2,1,3,0,2048,127,2175,8266400,
20240508,240412_01,창작스튜디오 5기 프리뷰전,9,1,10,27000,745,68,813,2235000,223.5
20240509,240305_01,어린이 미술전<파르르 파르르>,60,0,60,240000,2108,127,2235,8506400,70.9
20240509,240412_01,창작스튜디오 5기 프리뷰전,10,0,10,30000,755,68,823,2265000,226.5
20240510,240305_01,어린이 미술전<파르르 파르르>,22,1,23,88000,2130,128,2258,8594400,71.6
20240510,240412_01,창작스튜디오 5기 프리뷰전,39,2,41,117000,794,70,864,2382000,238.2
20240511,240305_01,어린이 미술전<파르르 파르르>,44,5,49,176000,2174,133,2307,8770400,73.1
