기관명,주소,우편번호
가야어린이집,전라남도 광양시 가야로 88,
경선어린이집,전라남도 광양시 광양읍 인서4길 7,
고운맘어린이집,"전라남도 광양시 사동로 139 102동 106호(중동, 광양써니밸리아파트)",
광산특수어린이집,전라남도 광양시 마장1길 9-7,
광양YMCA어린이집,전라남도 광양시 세동길 17-8,
광양광영2차부영사랑으로어린이집,전라남도 광양시 금영로 16 광영부영2차아파트 단지내,
광양동문디이스트어린이집,전라남도 광양시 눈소10길 58 동문디이스트아파트 단지 내,
광양보듬이나눔이어린이집,전라남도 광양시 시청로 6 (중동),
광양산이고운마린파크어린이집,전라남도 광양시 항만10로 30 광양산이고운마린파크아파트 단지 내,
광양세미존서희스타힐스어린이집,전라남도 광양시 광양읍 무선2길 15 광양세미존서희스타힐스어린이집,
광양센트럴자이어린이집,전라남도 광양시 성황수동로 21 광양센트럴자이아파트 관리동 내,
광양스위트엠르네상스어린이집,전라남도 광양시 눈소4길 37 광양스위트엠르네상스 단지내,
광양아카데미어린이집,전라남도 광양시 광양읍 예구9길 18,
광양어린이집,전라남도 광양시 광양읍 남등4길 16-1,
광양영무예다음어린이집,전라남도 광양시 중마중앙로 273 영무예다음아파트 단지 내,
광양의봄어린이집,전라남도 광양시 광영의암2로 2 광양의봄프리미엄2차 단지내,
광양중흥S클래스어린이집,전라남도 광양시 눈소10길 16 단지 내,
광양초원어린이집,전라남도 광양시 봉강면 명암길 43-6,
광양푸르지오더센트럴어린이집,전라남도 광양시 황금4로 53 광양푸르지오더센트럴,
광양푸르지오더퍼스트어린이집,전라남도 광양시 성황수동로 22 광양푸르지오더퍼스트 단지내,
광양한라비발디센트럴마크어린이집,전라남도 광양시 황금4로 54 단지 내,
근로복지공단 광양어린이집,전라남도 광양시 중동2길 28 (중동),
꼬마또래어린이집,"전라남도 광양시 공영로 39 101-106(중동,호반리젠시빌)",
꿈나무어린이집,전라남도 광양시 중촌길 49 (중동),
꿈사랑어린이집,"전라남도 광양시 진등길 40 105동 105호(중동, 대광로제비앙아파트)",
꿈이자라는어린이집,전라남도 광양시 광양읍 용강1길 12 205동 102호 (창덕에버빌아파트),
낙원어린이집,전라남도 광양시 옥곡면 금영로 257,
내친구어린이집,전라남도 광양시 느지매기길 25-16,
내품에어린이집,"전라남도 광양시 공영로 10 102동 105호(중동, 금광아파트)",
늘해랑어린이집,전라남도 광양시 와룡길 33 706/103(광양읍 송보파인빌),
다은어린이집,"전라남도 광양시 광양읍 서북2길 115 광양읍, 이편한세상아파트 103동 내",
더샵광양베이센트어린이집,전라남도 광양시 황금1로 66 더샵광양베이센트아파트 단지 내,
더샵프리모어린이집,전라남도 광양시 성황수동로 13 더샵프리모성황아파트 단지 내,
덕진광양의봄선샤인어린이집,전라남도 광양시 광양읍 용강로 118 덕진광양의봄선샤인아파트 단지 내,
덕진봄빛어린이집,전라남도 광양시 중마로 369 덕진아파트 205동,
덕진봄어린이집,전라남도 광양시 광양읍 서평1길 9,
덕진봄플러스어린이집,전라남도 광양시 광양읍 덕산4길 86 덕진광양의봄플러스아파트 관리동 내,
덕진키즈맘어린이집,"전라남도 광양시 중마로 367 104동 104호(마동, 덕진광양의봄아파트 1단지내)",
동심어린이집,전라남도 광양시 광양읍 예구6길 20,
동화나라어린이집,전라남도 광양시 발섬1길 3-8,
라온노르웨이숲어린이집,전라남도 광양시 자작길 23 중마노르웨이숲아파트 단지 내,
리베어린이집,전라남도 광양시 광양읍 신재로 82,
리베폴어린이집,전라남도 광양시 진등2길 13 302동 1층,
맘앤아이어린이집,"전라남도 광양시 진등6길 11 109동 102호(마동, 금광블루빌아파트)",
백합어린이집,전라남도 광양시 광양읍 용두1길 26-16,
보물섬어린이집,"전라남도 광양시 진등3길 6 중동, 대광로제비앙2차 아파트",
보은어린이집,전라남도 광양시 광양읍 유당로 64-3,
사랑가득어린이집,전라남도 광양시 진등길 64 송보파인빌뷰아파트 102동 102호(마동),
새나라어린이집,전라남도 광양시 광양읍 서평8길 9,
샛별어린이집,"전라남도 광양시 구마9길 11 중마, 주공2차관리사무소 2층",
세종어린이집,전라남도 광양시 광장로 112-11 태영1차아파트 단지 내,
송보나린어린이집,전라남도 광양시 진등길 55-5 송보5차아파트 관리동 내,
수시아어린이집,전라남도 광양시 광양읍 서산길 43 102동 104호(수시아아파트),
수퍼루키어린이집,전라남도 광양시 진등6길 51 송보6차아파트 단지 내(마동),
스마일어린이집,전라남도 광양시 지동길 33-21,
슬기어린이집,전라남도 광양시 광양읍 와룡5길 7,
시찌다어린이집,"전라남도 광양시 공영로 39 101동 101호(중동, 호반리젠시빌아파트)",
신화어린이집,전라남도 광양시 공영로 10 (중동),
아기둥지어린이집,"전라남도 광양시 광장로 120 202동109호(중동 ,태영@)",
아기사랑어린이집,전라남도 광양시 가야로 380 4동 101호(가야아파트),
아이사랑어린이집,전라남도 광양시 서평1길 99 109-101(매화마을 주공아파트),
아이캐슬어린이집,전라남도 광양시 광양읍 대림오성로 139 오성타워맨션 관리동 내,
아이편한어린이집,"전라남도 광양시 시청로 62 e편한세상광양아파트, 102동 1층내",
안데르센어린이집,전라남도 광양시 광장로 112-20 성호 1차 106동 옆 (중동),
에르가어린이집,전라남도 광양시 광양읍 서산길 5 에르가아파트 상가동,
에벤에셀어린이집,전라남도 광양시 길호길 91-3,
엔젤어린이집,전라남도 광양시 등논3길 5-2 (마동),
온누리어린이집,전라남도 광양시 광양읍 서북5길 25,
왕자와공주꿈동산어린이집,전라남도 광양시 중촌길 36 (중동),
용강어린이집,전라남도 광양시 용강2길 11,
우림아이어린이집,전라남도 광양시 눈소4길 65 102동 1층,
자연어린이집,전라남도 광양시 광양읍 와룡5길 23,
중앙어린이집,전라남도 광양시 구마길 38-3,
진상어린이집,전라남도 광양시 진상면 섬거길 5-14,
진아리채어린이집,전라남도 광양시 중마1길 21 진아리채아파트 관리동,
창덕어린이집,전라남도 광양시 광양읍 용강1길 12 창덕에버빌2차 관리동 2층,
키즈아이원어린이집,전라남도 광양시 대림2길 3,
태인어린이집,전라남도 광양시 담안2길 16-15,
파랑새어린이집,전라남도 광양시 광양읍 서평10길 3,
포스코금당어린이집,전라남도 광양시 초원길 36 포스코금당어린이집,
포스코금호어린이집,전라남도 광양시 동백길 81 (금호동),
푸른숲어린이집,전라남도 광양시 광장로 70 성호2차아파트 관리동(중동),
