기관명,주소,우편번호
여수사임당어린이집,전남광주 여수시 관문서2길 9-1,
참솔어린이집,"전남광주 여수시 쌍봉로 316 110동 102호(둔덕동, 한려주공)",
EQIQ어린이집,전남광주 여수시 문수7길 24 (문수동),
동화나라어린이집,전남광주 여수시 양지2길 9 동화나라어린이집,
찬양어린이집,전남광주 여수시 미평남4길 11-2 (미평동),
미지어린이집,전남광주 여수시 신기북3길 43-14,
시전사임당어린이집,"전남광주 여수시 여천체육공원길 23 102동 106호(시전동, 우미)",
초코어린이집,"전남광주 여수시 선소로 72-13 301동 104호(신기동, 부영아파트)",
꿈많은어린이집,전남광주 여수시 장성3길 44 (안산동),
꿈사랑어린이집,전남광주 여수시 소호6길 15-7 (소호동),
사랑가득어린이집,"전남광주 여수시 도원로 204 501동 103호(안산동, 부영5차아파트)",
엄마랑어린이집,"전남광주 여수시 쌍봉로 32 108동 103호(학동, 신동아파밀리에)",
초록나무어린이집,"전남광주 여수시 무선로 50 116동 102호(학동, 신동아파밀리에)",
한나 어린이집,"전남광주 여수시 안산1길 136 105동 109호(안산동, 모아미래도)",
해피하우스어린이집,"전남광주 여수시 도원로 204 506동 101호(안산동, 부영5차아파트)",
오뚜기어린이집,전남광주 여수시 여서동6길 8 (여서동),
예솜어린이집,"전남광주 여수시 봉계대곡길 50 106동 104호(봉계동,아주타운)",
해들어린이집,"전남광주 여수시 좌수영로 682-34 104동 102호(봉계동, 로얄골드빌)",
동국어린이집,전남광주 여수시 충무로 87 충무맨션 상가 2층 동국 어린이집,
남면어린이집,전남광주 여수시 금오로 860,
청솔어린이집,전남광주 여수시 강남1길 50 여수 돌산1차 청솔아파트 청솔어린이집,
묘도어린이집,전남광주 여수시 묘도1길 64 묘도어린이집,
대성베르힐어린이집,전남광주 여수시 여문2로 128-38 대성베르힐 관리동,
미평하나어린이집,전남광주 여수시 좌수영로 369-3 (미평동),
삼산어린이집,전남광주 여수시 삼산면 덕흥1길 29,
죽림1단지어린이집,전남광주 여수시 덕양로 97-9 죽림휴먼시아 1단지내 죽림1단지어린이집,
죽림2단지어린이집,전남광주 여수시 죽림로 38 죽림휴먼시아2단지내 죽림2단지어린이집,
중흥보듬이나눔이어린이집,전남광주 여수시 소라면 죽림3길 10 중흥보듬이나눔이어린이집,
힐스테이트죽림젠트리스어린이집,전남광주 여수시 덕양로 21-18,
웅천더힐1단지어린이집,전남광주 여수시 웅천로 262 웅천더힐1단지 내,
웅천어린이집,전남광주 여수시 웅천중앙로 54,
웅천포레나1단지어린이집,"전남광주 여수시 웅천남8로 24 (웅천동, 여수웅천포레나1단지 관리동)",
웅천포레나2단지어린이집,"전남광주 여수시 웅천남8로 23 (웅천동, 여수웅천포레나2단지 관리동 내))",
e편한세상여수더퍼스트어린이집,전남광주 여수시 학동북4길 7,
쌍봉어린이집,전남광주 여수시 안산1길 181 (안산동),
안산어린이집,전남광주 여수시 장성3길 30,
여서어린이집,전남광주 여수시 대치1길 26-3,
꿈모아어린이집,전남광주 여수시 성산6길 47-10,
여천어린이집,전남광주 여수시 무선1길 8 (선원동),
봉계어린이집,"전남광주 여수시 좌수영로 682-34 101동 105호(봉계동,로얄골드빌)",
연등어린이집,전남광주 여수시 연등6길 54 (연등동),
수정어린이집,전남광주 여수시 수정2길 11 (수정동),
나진어린이집,전남광주 여수시 화양면 나진길 16-26 여수시립나진어린이집,
화정어린이집,전남광주 여수시 화정면 신흥길 32-11,
해오름어린이집,전남광주 여수시 돌산읍 강남10길 18-20,
그리스도어린이집,전남광주 여수시 둔덕1길 16 (둔덕동),
도담어린이집,전남광주 여수시 상암로 16,
라온어린이집,"전남광주 여수시 용수길 2-9 (둔덕동, 라온어린이집)",
한려어린이집,전남광주 여수시 쌍봉로 316 한려아파트내 (한려어린이집),
시티어린이집,"전남광주 여수시 덕충안길 84 204동 1층(덕충동,시티프라디움2단지)",
초록빛어린이집,"전남광주 여수시 박람회길 61 덕충동, 엑스포힐스테이트 1단지내",
사과나무어린이집,전남광주 여수시 허문정1길 39 (문수동),
안데르센어린이집,전남광주 여수시 여문2로 53-4,
양우내안애어린이집,전남광주 여수시 소라면 도원로 80 (죽림 양우내안애),
여수죽림1차부영사랑으로어린이집,전남광주 여수시 소라면 죽림로 10 (죽림부영1단지내 보육시설),
여수죽림2차부영사랑으로어린이집,전남광주 여수시 소라면 덕양로 114 (죽림부영2차내),
고우나어린이집,전남광주 여수시 시전4길 9 (신기동),
더테라스어린이집,전남광주 여수시 웅천남1로 99,
로제비앙어린이집,전남광주 여수시 신기북7길 30 대광로제비앙샌텀29 관리동,
민들레어린이집,"전남광주 여수시 웅천중앙로 33 (웅천동, 웅천지웰2차)",
여수웅천1차부영사랑으로어린이집,"전남광주 여수시 웅천로 189 웅천동, 여수웅천 부영1차아파트",
여수웅천2차부영사랑으로어린이집,"전남광주 여수시 웅천로 261 웅천동, 여수웅천 부영2차아파트",
여수웅천3차부영사랑으로어린이집,전남광주 여수시 웅천로 291 웅천 부영3차,
예울어린이집,전남광주 여수시 예울마루로 30 107동 1층,
웅천포레스트1단지부영사랑으로어린이집,전남광주 여수시 웅천로 292 웅천포레스트부영1단지,
웅천포레스트2단지부영사랑으로 어린이집,전남광주 여수시 여서로 55 웅천포레스트 2단지,
지웰 꿈꾸는어린이집,전남광주 여수시 예울마루로 30 (웅천지웰아파트),
지웰3단지 어린이집,전남광주 여수시 웅천중앙로 47 웅천 지웰3단지 내,
개구쟁이어린이집,전남광주 여수시 장성2길 41 (안산동),
더조은어린이집,전남광주 여수시 소호5길 39 주은금호 3차,
신동아파밀리에어린이집,전남광주 여수시 무선로 50 신동아파밀리에 단지 내,
참예쁜어린이집,전남광주 여수시 소호6길 11 (소호동),
다솜어린이집,전남광주 여수시 대치1길 82-1,
배울학어린이집,전남광주 여수시 여서동4길 6 (여서동),
리틀세화어린이집,전남광주 여수시 선원7길 52 (선원동),
이좋은어린이집,전남광주 여수시 덕양로 157 무선주공아파트 관리소 1층 (화장동),
지에이그린웰어린이집,전남광주 여수시 신월3길 18-5 지에이그린웰어린이집 관리동,
로얄어린이집,전남광주 여수시 좌수영로 682-34 로얄아파트 관리동,
주사랑어린이집,전남광주 여수시 고소3길 114 (고소동),
여천제일어린이집,전남광주 여수시 학동서4길 58-20,
꽃동산어린이집,전남광주 여수시 신월로 533 (신월동),
아가방어린이집,전남광주 여수시 장군산길 63 (오림동),
샘터특수어린이집,전남광주 여수시 대교로 61 (봉산동),
샬롬어린이집,전남광주 여수시 만성로 337 (만흥동),
홍익어린이집,전남광주 여수시 충민사길 31 (덕충동),
고려어린이집,"전남광주 여수시 문수북6길 35-1 35,33-2(문수동)",
베타니아생태어린이집,전남광주 여수시 문수7길 26-12,
꽃들어린이집,전남광주 여수시 소정길 30 (미평동),
꿈미래재롱이어린이집,전남광주 여수시 봉강서1길 33 (봉강동),
소라어린이집,전남광주 여수시 소라면 조산로 286,
천우어린이집,전남광주 여수시 신기남3길 11 (신기동),
이화어린이집,전남광주 여수시 장성2길 19 (안산동),
참사랑어린이집,전남광주 여수시 여서로 226-3 (여서동),
한빛어린이집,전남광주 여수시 대치1길 26-6,
중앙어린이집,전남광주 여수시 성산4길 9-6 (화장동),
리라어린이집,전남광주 여수시 신월로 561-6 (신월동),
꿈동산어린이집,전남광주 여수시 율촌면 동산개길 19-3,
롯데케미칼 첨단소재 여수mom편한 어린이집,"전남광주 여수시 새터로 6 신기동, 롯데첨단소재 사택 내",
DL케미칼여수한숲어린이집,전남광주 여수시 시청로 5 DL케미칼 1사택 내 복지시설 1층,
GS칼텍스 지예슬어린이집,전남광주 여수시 소호로 449 GS칼텍스 쌍봉사택,
LG여수어린이집,"전남광주 여수시 소호로 619 (소호동, 엘지화학사택내)",
여수시청직장어린이집,"전남광주 여수시 시청동1길 30 (학동, 여수시청직장어린이집)",
한화솔루션 여천NCC공동어린이집,"전남광주 여수시 소호로 513 (소호동, 한화케미칼 사택)",
여수경찰서어린이집,전남광주 여수시 여서동5길 21,
롯데케미칼 mom편한 어린이집,"전남광주 여수시 무선로 27 선원동, 롯데케미칼 사택 내",
한화여수 어린이집,전남광주 여수시 신월8길 35-8 (신월동),
