기관명,설립유형,주소,교육지원청
거문초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 삼산면 녹산등대길 8-17,여수교육지원청
경호초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 대경도4길 48 (경호동),여수교육지원청
관기초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 소라면 관기길 20,여수교육지원청
꽃가람유치원,사립(사인),전남광주통합특별시 여수시 여서2로 20 (여서동,여수교육지원청
도원초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 선원4길 38 (선원동),여수교육지원청
동백초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 돌산읍 강남10길 27,여수교육지원청
미주유치원,사립(사인),전남광주통합특별시 여수시 장성마을길 18-9 (안산동),여수교육지원청
백상유치원,사립(사인),전남광주통합특별시 여수시 좌수영로 441 (둔덕동),여수교육지원청
상암초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 상암로 625 (상암동),여수교육지원청
선경유치원,사립(사인),전남광주통합특별시 여수시 양지3길 16 (미평동),여수교육지원청
성모유치원,사립(법인),전남광주통합특별시 여수시 신월로 799-2 (봉강동),여수교육지원청
소나무유치원,사립(사인),전남광주통합특별시 여수시 구봉2길 2 (국동),여수교육지원청
소라초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 소라면 덕양로 431,여수교육지원청
소호초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 소호로 499 (소호동),여수교육지원청
송현유치원,공립(단설),전남광주통합특별시 여수시 웅천7길 47 (웅천동),여수교육지원청
시온유치원,사립(사인),전남광주통합특별시 여수시 쌍봉로 318-1 (둔덕동),여수교육지원청
시전초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 망마로 82-17 (신기동),여수교육지원청
신기초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 여천체육공원길 24 (신기동),여수교육지원청
신풍초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 율촌면 여순로 435-4,여수교육지원청
쌍봉초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 흥국로 47 (학동),여수교육지원청
안심초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 소호7길 23 (소호동),여수교육지원청
안일초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 화양면 화양로 341-3,여수교육지원청
여남초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 남면 금오로 836,여수교육지원청
여수구봉초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 구봉산길 51 (국동),여수교육지원청
여수남초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 어항로 22 (국동),여수교육지원청
여수동초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 진남로 151 (공화동),여수교육지원청
여수문수초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 허문정1길 48-5 (문수동),여수교육지원청
여수미평초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 좌수영로 390 (미평동),여수교육지원청
여수봉산초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 봉산새철4길 28 (봉산동),여수교육지원청
여수북초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 망양로 306 (만흥동),여수교육지원청
여수서초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 서교1길 29 (서교동),여수교육지원청
여수성산유치원,공립(단설),전남광주통합특별시 여수시 대통1길 15 (화장동),여수교육지원청
여수신월초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 신월로 614 (신월동),여수교육지원청
여수양지초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 양지1길 21 (미평동),여수교육지원청
여수여문초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 문수로 142-16 (문수동),여수교육지원청
여수종고초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 공화북6길 52 (덕충동),여수교육지원청
여수좌수영초등학교병설유치원,공립(병설),전남광주통합특별시 여수시 여문2로 50 (문수동),여수교육지원청
