uid	번호	구분	공연장	티켓오픈	제목	모수	연령_20세 미만	연령_20~29세	연령_30~39세	연령_40~49세	연령_50~59세	연령_60~69세	연령_70세 이상	거주_여수	거주_순천	거주_광양	거주_호남	거주_광주	거주_호남외지역
1296	1272	기획	대극장	2026.08.07 16시	2026 여수세계섬박람회 기념음악회	1	0	0	0	100	0	0	0	100	0	0	0	0	0
1295	1271	대관	대극장	2026.07.16 11시	[메인출력]폐막연주회 열 번째 심포니, 계속될 선율	130	0	10.76	27.69	30.03	13.84	16.15	1.53	30.76	35.41	3.84	0	0.76	29.23
1294	1270	대관	대극장	2026.07.16 11시	[메인출력]백윤학의 Cine-Fantasy	76	0	14.47	23.68	28.97	14.47	13.15	5.26	28.94	32.92	5.26	0	1.31	31.57
1293	1269	대관	대극장	2026.07.16 11시	[메인출력]라포엠의 Love Rhapsody	475	0.21	6.1	10.94	40.65	20.63	21.47	0	30.73	8.63	2.31	0	0.21	58.12
1292	1268	대관	소극장	01시	[메인출력]KBS교향악단 임산부를 위한 태교음악회	20	0	15	25	15	25	15	5	30	15	0	0	0	55
1291	1267	대관	대극장	2026.07.16 11시	[메인출력]개막연주회 열정의 서곡 – 정명훈의 ‘로미오와 줄리엣’	204	1.96	5.88	20.09	26.01	22.54	18.62	4.9	41.2	22.54	11.27	0	0.49	24.5
1290	1266	대관	기타	2026.07.15 10시	대관 결제용 페이지	97	0	10.3	19.58	48.48	3.09	0	18.55	71.14	0	1.03	0	0	27.83
1289	1265	기획	대극장	2026.07.30 16시	[메인출력]국립현대무용단 <트리플 빌>	230	0	17.82	22.6	25.24	23.91	10.43	0	33.93	26.52	16.95	0	3.91	18.69
1288	1264	기획	대극장	2026.07.22 16시	[메인출력]다비드 바뱅 & 아드리앙 몽도 <피아노 피아노>	177	0	9.03	13.55	32.81	32.76	10.16	1.69	45.22	36.15	8.47	0	0.56	9.6
1287	1263	공동기획	대극장	2026.07.24 16시	[메인출력]뮤지컬 <그날들>	6454	1.53	15.81	28.78	35.96	15.26	2.57	0.09	47.6	24.65	13.37	0	1.65	12.73
1286	1262	기획	대극장	2026.07.10 16시	[메인출력]뮤지컬 <달 샤베트> - 여수	1087	0.18	2.2	47.96	43.79	5.51	0.36	0	53.19	25.85	11.4	0	1.1	8.46
1284	1261	기획	대극장	2026.07.03 16시	[메인출력]브런치 콘서트 <현 위로 흐르는 계절: 열정과 고독사이>	619	0.16	7.75	21.64	24.71	28.63	15.18	1.93	36.37	24.07	7.1	0	0.48	31.98
1283	1260	대관	소극장	01시	[메인출력]제2회 류가연 가야금 독주회	18	0	11.11	27.8	27.77	27.77	5.55	0	72.23	11.11	5.55	0	0	11.11
1282	1259	대관	소극장	01시	[메인출력]현의 떨림, 관의 숨결	24	0	0	33.34	25	33.33	8.33	0	50.01	16.66	20.83	0	0	12.5
