순번,구분,기관명,주소,우편번호
1,유치원,거문초등학교병설유치원,전남광주통합특별시 여수시 삼산면 녹산등대길 8-17,
2,유치원,경호초등학교병설유치원,전남광주통합특별시 여수시 대경도4길 48 (경호동),
3,유치원,관기초등학교병설유치원,전남광주통합특별시 여수시 소라면 관기길 20,
4,유치원,꽃가람유치원,전남광주통합특별시 여수시 여서2로 20 (여서동,
5,유치원,도원초등학교병설유치원,전남광주통합특별시 여수시 선원4길 38 (선원동),
6,유치원,동백초등학교병설유치원,전남광주통합특별시 여수시 돌산읍 강남10길 27,
7,유치원,미주유치원,전남광주통합특별시 여수시 장성마을길 18-9 (안산동),
8,유치원,백상유치원,전남광주통합특별시 여수시 좌수영로 441 (둔덕동),
9,유치원,상암초등학교병설유치원,전남광주통합특별시 여수시 상암로 625 (상암동),
10,유치원,선경유치원,전남광주통합특별시 여수시 양지3길 16 (미평동),
11,유치원,성모유치원,전남광주통합특별시 여수시 신월로 799-2 (봉강동),
12,유치원,소나무유치원,전남광주통합특별시 여수시 구봉2길 2 (국동),
13,유치원,소라초등학교병설유치원,전남광주통합특별시 여수시 소라면 덕양로 431,
14,유치원,소호초등학교병설유치원,전남광주통합특별시 여수시 소호로 499 (소호동),
15,유치원,송현유치원,전남광주통합특별시 여수시 웅천7길 47 (웅천동),
16,유치원,시온유치원,전남광주통합특별시 여수시 쌍봉로 318-1 (둔덕동),
17,유치원,시전초등학교병설유치원,전남광주통합특별시 여수시 망마로 82-17 (신기동),
18,유치원,신기초등학교병설유치원,전남광주통합특별시 여수시 여천체육공원길 24 (신기동),
19,유치원,신풍초등학교병설유치원,전남광주통합특별시 여수시 율촌면 여순로 435-4,
20,유치원,쌍봉초등학교병설유치원,전남광주통합특별시 여수시 흥국로 47 (학동),
21,유치원,안심초등학교병설유치원,전남광주통합특별시 여수시 소호7길 23 (소호동),
22,유치원,안일초등학교병설유치원,전남광주통합특별시 여수시 화양면 화양로 341-3,
23,유치원,여남초등학교병설유치원,전남광주통합특별시 여수시 남면 금오로 836,
24,유치원,여수구봉초등학교병설유치원,전남광주통합특별시 여수시 구봉산길 51 (국동),
25,유치원,여수남초등학교병설유치원,전남광주통합특별시 여수시 어항로 22 (국동),
26,유치원,여수동초등학교병설유치원,전남광주통합특별시 여수시 진남로 151 (공화동),
27,유치원,여수문수초등학교병설유치원,전남광주통합특별시 여수시 허문정1길 48-5 (문수동),
28,유치원,여수미평초등학교병설유치원,전남광주통합특별시 여수시 좌수영로 390 (미평동),
29,유치원,여수봉산초등학교병설유치원,전남광주통합특별시 여수시 봉산새철4길 28 (봉산동),
30,유치원,여수북초등학교병설유치원,전남광주통합특별시 여수시 망양로 306 (만흥동),
31,유치원,여수서초등학교병설유치원,전남광주통합특별시 여수시 서교1길 29 (서교동),
32,유치원,여수성산유치원,전남광주통합특별시 여수시 대통1길 15 (화장동),
33,유치원,여수신월초등학교병설유치원,전남광주통합특별시 여수시 신월로 614 (신월동),
34,유치원,여수양지초등학교병설유치원,전남광주통합특별시 여수시 양지1길 21 (미평동),
35,유치원,여수여문초등학교병설유치원,전남광주통합특별시 여수시 문수로 142-16 (문수동),
36,유치원,여수종고초등학교병설유치원,전남광주통합특별시 여수시 공화북6길 52 (덕충동),
37,유치원,여수좌수영초등학교병설유치원,전남광주통합특별시 여수시 여문2로 50 (문수동),
38,유치원,여수중앙유치원,전남광주통합특별시 여수시 여문1로 90 (문수동,
39,유치원,여수중앙초등학교병설유치원,전남광주통합특별시 여수시 하멜로 35 (종화동),
40,유치원,여수진남초등학교병설유치원,전남광주통합특별시 여수시 좌수영로 131 (광무동),
41,유치원,여수한려초등학교병설유치원,전남광주통합특별시 여수시 여문1로 80 (문수동),
42,유치원,여천초등학교병설유치원,전남광주통합특별시 여수시 주동1길 30 (주삼동),
43,유치원,여천푸른유치원,전남광주통합특별시 여수시 소호2길 6-3 (소호동),
44,유치원,영재유치원,전남광주통합특별시 여수시 여문2로 37 (문수동),
45,유치원,예울초등학교병설유치원,전남광주통합특별시 여수시 웅천북4로 9 (웅천동),
46,유치원,온누리유치원,전남광주통합특별시 여수시 신기남1길 6-10 (신기동),
47,유치원,웅천초등학교병설유치원,전남광주통합특별시 여수시 웅천중앙로 61 (웅천동),
48,유치원,율촌초등학교병설유치원,전남광주통합특별시 여수시 율촌면 율촌초교길 7,
49,유치원,은혜유치원,전남광주통합특별시 여수시 안산2길 12 (안산동),
50,유치원,제일유치원,전남광주통합특별시 여수시 여문2로 76 (문수동),
51,유치원,죽림초등학교병설유치원,전남광주통합특별시 여수시 소라면 죽림로 60,
52,유치원,킨더숲유치원,전남광주통합특별시 여수시 소라면 안심산길 155,
53,유치원,하늘빛유치원,전남광주통합특별시 여수시 용수길 2-35 (둔덕동),
54,유치원,해바라기유치원,전남광주통합특별시 여수시 무선6길 21 (선원동),
55,유치원,화양초등학교병설유치원,전남광주통합특별시 여수시 화양면 화동로 149,
56,유치원,기린숲유치원,전남광주통합특별시 순천시 해룡면 송산5길 1,
57,유치원,꿈초롱유치원,전남광주통합특별시 순천시 원가곡2길 7-7 (가곡동),
58,유치원,낙안초등학교병설유치원,전남광주통합특별시 순천시 낙안면 동서길 20,
59,유치원,동명초등학교병설유치원,전남광주통합특별시 순천시 해룡면 동명초등길 23,
60,유치원,동산초등학교병설유치원,전남광주통합특별시 순천시 서면 순천로 16,
61,유치원,매안초등학교병설유치원,전남광주통합특별시 순천시 해룡면 좌야로 16,
62,유치원,민들레유치원,전남광주통합특별시 순천시 해룡면 상비매봉길 23,
63,유치원,별량초등학교병설유치원,전남광주통합특별시 순천시 별량면 별량길 58,
64,유치원,상사초등학교병설유치원,전남광주통합특별시 순천시 상사면 상사초등길 55,
65,유치원,새싹유치원,전남광주통합특별시 순천시 강변로 943 (석현동),
66,유치원,성모유치원,전남광주통합특별시 순천시 서문로 19-1 (저전동),
67,유치원,순천남산초등학교병설유치원,전남광주통합특별시 순천시 풍덕새길 89 (풍덕동),
68,유치원,순천남초등학교병설유치원,전남광주통합특별시 순천시 서문로 7 (저전동),
69,유치원,순천대석초등학교병설유치원,전남광주통합특별시 순천시 기적의도서관2길 52 (연향동),
70,유치원,순천도사초등학교병설유치원,전남광주통합특별시 순천시 순천만길 166 (홍내동),
71,유치원,순천봉화초등학교병설유치원,전남광주통합특별시 순천시 봉화1길 57 (조례동),
